radiant_win,dire_team,radiant_team,duration,avg_mmr
False,"[58, 88, 113, 14, 28]","[70, 20, 2, 85, 40]",2969,1873
True,"[37, 35, 100, 15, 120]","[26, 138, 30, 42, 22]",2726,3110
False,"[78, 107, 22, 74, 8]","[27, 25, 93, 50, 14]",2382,538
False,"[43, 68, 46, 27, 96]","[121, 35, 72, 101, 135]",3098,2937
True,"[98, 64, 26, 41, 90]","[31, 105, 44, 84, 6]",2580,3466
True,"[26, 70, 97, 107, 1]","[14, 83, 23, 50, 35]",2576,4273
True,"[86, 129, 114, 5, 22]","[101, 39, 51, 71, 35]",2375,4251
True,"[44, 35, 47, 50, 86]","[72, 20, 39, 2, 22]",2632,3262
True,"[136, 9, 48, 99, 83]","[74, 20, 72, 12, 137]",1681,3154
True,"[84, 114, 47, 57, 74]","[21, 7, 6, 44, 99]",2672,3903
False,"[75, 123, 10, 63, 81]","[11, 136, 65, 48, 99]",2493,3360
False,"[63, 101, 71, 121, 42]","[37, 100, 29, 114, 11]",2159,3763
True,"[6, 31, 135, 81, 68]","[13, 128, 71, 121, 48]",2217,3563
False,"[37, 52, 7, 53, 95]","[56, 4, 75, 23, 41]",3286,1370
True,"[26, 88, 25, 1, 99]","[20, 46, 81, 27, 112]",2126,4111
True,"[41, 23, 27, 37, 64]","[95, 99, 53, 44, 17]",1949,2111
True,"[71, 48, 81, 83, 113]","[98, 93, 36, 31, 75]",2162,2749
False,"[81, 138, 40, 25, 74]","[57, 34, 48, 36, 21]",2801,2802
True,"[67, 120, 96, 21, 100]","[80, 73, 5, 42, 25]",1490,3781
True,"[45, 20, 22, 54, 71]","[56, 42, 9, 93, 83]",2332,4746
True,"[67, 76, 32, 65, 49]","[37, 1, 47, 71, 84]",3025,3258
True,"[110, 33, 42, 123, 78]","[121, 17, 9, 6, 23]",1687,3411
False,"[7, 136, 5, 74, 11]","[8, 9, 135, 43, 14]",3582,3979
False,"[35, 44, 80, 5, 37]","[41, 75, 104, 30, 67]",1560,2600
True,"[104, 53, 58, 12, 27]","[5, 98, 1, 22, 37]",2478,3519
False,"[67, 53, 35, 43, 128]","[104, 123, 86, 30, 1]",2094,2725
True,"[93, 100, 83, 86, 74]","[135, 94, 84, 47, 71]",2477,5230
True,"[27, 10, 15, 65, 44]","[53, 67, 107, 104, 11]",2024,2996
True,"[21, 120, 63, 48, 30]","[42, 11, 75, 9, 44]",1945,2424
True,"[123, 96, 114, 36, 30]","[16, 84, 14, 37, 11]",1798,2297
True,"[104, 30, 70, 60, 71]","[8, 9, 75, 81, 34]",3307,2782
False,"[14, 23, 111, 84, 81]","[110, 27, 106, 72, 80]",1811,3707
True,"[87, 105, 59, 104, 44]","[30, 94, 71, 86, 97]",1741,3282
True,"[39, 14, 104, 37, 10]","[44, 56, 26, 96, 30]",2537,3044
True,"[82, 123, 14, 104, 35]","[68, 51, 71, 64, 12]",4042,3103
False,"[8, 50, 74, 98, 76]","[11, 1, 28, 88, 103]",1854,4024
True,"[14, 25, 20, 37, 95]","[88, 137, 74, 70, 71]",2393,4720
False,"[44, 19, 73, 121, 20]","[84, 79, 129, 21, 104]",2092,4259
True,"[100, 18, 11, 16, 30]","[75, 28, 54, 128, 85]",1881,2454
False,"[8, 86, 50, 85, 33]","[54, 99, 87, 17, 75]",2544,2616
True,"[107, 30, 10, 62, 42]","[83, 137, 138, 28, 86]",1585,3372
False,"[50, 89, 38, 68, 14]","[29, 44, 37, 64, 109]",2782,3901
False,"[44, 87, 137, 74, 107]","[99, 58, 9, 34, 12]",2651,3996
False,"[34, 62, 71, 96, 93]","[10, 99, 121, 5, 14]",2910,2632
True,"[106, 14, 110, 95, 81]","[39, 70, 96, 37, 87]",2100,4284
False,"[20, 14, 54, 70, 138]","[26, 1, 30, 27, 99]",2959,2161
False,"[11, 87, 25, 64, 78]","[30, 20, 81, 74, 100]",2436,2277
True,"[104, 58, 37, 16, 44]","[30, 101, 74, 60, 48]",2059,2684
False,"[74, 8, 34, 100, 89]","[44, 27, 35, 137, 75]",3081,2204
True,"[54, 74, 20, 100, 78]","[13, 41, 88, 42, 110]",1559,6784
False,"[2, 53, 30, 76, 41]","[35, 54, 100, 104, 20]",2631,953
False,"[64, 53, 82, 119, 42]","[71, 89, 101, 37, 113]",2161,2290
True,"[119, 104, 123, 138, 74]","[26, 30, 14, 1, 135]",3906,3159
False,"[23, 54, 50, 101, 25]","[120, 73, 8, 33, 22]",2387,3366
False,"[119, 40, 7, 15, 37]","[30, 53, 107, 44, 28]",2080,3220
True,"[99, 5, 46, 56, 10]","[40, 7, 76, 14, 81]",1698,3207
False,"[10, 77, 33, 14, 26]","[71, 42, 86, 84, 6]",2107,2131
False,"[34, 99, 62, 8, 110]","[30, 23, 18, 2, 83]",2500,1911
True,"[14, 20, 23, 17, 70]","[96, 74, 8, 121, 37]",2247,4868
True,"[13, 44, 64, 26, 60]","[5, 80, 12, 75, 84]",1660,2858
False,"[119, 15, 14, 48, 76]","[28, 86, 109, 74, 35]",2767,1503
True,"[11, 72, 137, 100, 20]","[53, 123, 54, 22, 15]",1800,4604
True,"[100, 30, 44, 104, 73]","[34, 62, 42, 27, 97]",1925,2639
False,"[42, 87, 18, 99, 7]","[22, 88, 2, 101, 81]",2409,2578
False,"[30, 119, 106, 102, 4]","[95, 83, 69, 34, 121]",3791,2928
True,"[70, 121, 107, 26, 35]","[53, 11, 85, 2, 75]",2315,3569
True,"[7, 42, 12, 20, 5]","[101, 99, 67, 72, 27]",2397,4243
False,"[138, 84, 99, 58, 107]","[70, 20, 2, 30, 35]",2845,3738
True,"[44, 84, 76, 30, 60]","[12, 62, 2, 7, 87]",2539,3993
False,"[28, 13, 19, 6, 58]","[85, 12, 7, 36, 61]",2394,3970
False,"[19, 62, 42, 99, 39]","[53, 8, 26, 43, 23]",2913,1209
False,"[88, 11, 71, 95, 86]","[22, 13, 85, 99, 56]",1741,1310
False,"[28, 45, 101, 8, 135]","[36, 86, 81, 97, 71]",2187,2445
False,"[44, 74, 71, 50, 138]","[46, 87, 18, 54, 64]",2551,1893
False,"[27, 37, 36, 70, 11]","[26, 119, 96, 74, 10]",1355,2827
True,"[9, 101, 32, 78, 36]","[67, 28, 114, 83, 30]",2674,4329
False,"[37, 45, 47, 95, 135]","[35, 86, 7, 48, 110]",4061,3251
True,"[75, 25, 2, 71, 18]","[113, 36, 128, 102, 8]",3461,2991
False,"[81, 104, 30, 128, 74]","[111, 138, 61, 137, 42]",1465,4401
True,"[69, 39, 35, 36, 71]","[93, 80, 6, 64, 7]",2080,3137
True,"[47, 7, 86, 16, 11]","[53, 114, 71, 26, 21]",3741,3350
True,"[22, 87, 6, 95, 48]","[8, 14, 52, 17, 71]",2613,69
True,"[137, 25, 60, 72, 53]","[111, 27, 1, 38, 14]",2133,2778
True,"[1, 53, 39, 60, 64]","[25, 49, 50, 44, 71]",1887,3828
True,"[114, 2, 53, 17, 20]","[83, 104, 35, 135, 37]",2243,2202
False,"[71, 84, 85, 81, 27]","[121, 119, 28, 98, 93]",2186,3252
False,"[20, 71, 73, 50, 85]","[41, 7, 113, 26, 136]",2703,2220
True,"[89, 10, 30, 93, 121]","[70, 35, 75, 22, 14]",2030,3272
False,"[75, 40, 26, 28, 47]","[96, 86, 95, 36, 30]",4256,2305
False,"[63, 111, 114, 7, 3]","[82, 135, 26, 70, 61]",2056,5676
False,"[7, 57, 123, 35, 14]","[56, 27, 54, 104, 36]",2582,3585
True,"[36, 103, 114, 111, 5]","[71, 74, 104, 8, 123]",2216,870
False,"[5, 62, 2, 75, 93]","[6, 129, 70, 123, 71]",2687,3986
True,"[56, 30, 41, 45, 11]","[71, 57, 42, 13, 86]",1685,3231
True,"[99, 73, 38, 21, 14]","[29, 44, 74, 7, 89]",2478,3506
True,"[4, 28, 44, 30, 121]","[7, 53, 11, 42, 23]",1767,4657
True,"[14, 119, 84, 37, 32]","[5, 69, 64, 107, 42]",2780,2256
False,"[74, 56, 45, 48, 83]","[6, 101, 71, 111, 50]",1741,4745
True,"[110, 51, 71, 89, 25]","[70, 99, 37, 53, 128]",2250,3514
False,"[19, 29, 30, 41, 68]","[71, 11, 94, 34, 26]",2033,1138
False,"[21, 68, 96, 63, 72]","[30, 71, 32, 105, 88]",2958,4355
True,"[97, 8, 68, 71, 50]","[84, 94, 39, 65, 91]",2421,3696
False,"[21, 40, 101, 81, 14]","[9, 39, 35, 54, 16]",2205,3645
True,"[26, 20, 11, 78, 44]","[19, 121, 81, 107, 13]",1890,3038
False,"[63, 11, 14, 25, 69]","[85, 41, 22, 123, 7]",2251,3452
True,"[58, 67, 104, 14, 35]","[81, 96, 5, 136, 16]",2528,3194
False,"[41, 27, 13, 102, 30]","[83, 1, 34, 101, 49]",3242,2435
False,"[67, 123, 121, 84, 22]","[104, 91, 44, 20, 74]",2122,3251
True,"[20, 35, 56, 81, 16]","[71, 72, 2, 30, 14]",2923,1480
False,"[26, 14, 136, 39, 15]","[96, 114, 67, 71, 64]",4460,2963
False,"[37, 7, 87, 1, 35]","[101, 99, 107, 81, 27]",2545,2652
True,"[48, 30, 31, 104, 17]","[69, 106, 1, 35, 2]",1946,2655
False,"[31, 38, 37, 12, 27]","[88, 71, 21, 6, 51]",3174,2889
True,"[17, 8, 21, 102, 86]","[31, 71, 7, 26, 44]",2138,3303
False,"[82, 5, 30, 97, 64]","[111, 94, 8, 52, 21]",2858,2636
False,"[35, 72, 87, 135, 99]","[50, 120, 37, 137, 1]",2326,3028
True,"[71, 53, 52, 5, 48]","[111, 83, 76, 98, 46]",2110,4497
False,"[53, 67, 80, 101, 2]","[59, 86, 114, 29, 27]",1640,3040
True,"[75, 135, 44, 30, 99]","[93, 74, 53, 96, 85]",1468,3225
True,"[36, 6, 86, 73, 5]","[14, 82, 37, 84, 48]",2211,3519
True,"[63, 120, 70, 53, 7]","[85, 67, 81, 51, 74]",2141,4220
True,"[28, 113, 109, 30, 91]","[49, 23, 7, 54, 86]",2290,486
False,"[14, 8, 16, 40, 76]","[84, 52, 44, 83, 26]",1941,3093
True,"[56, 26, 120, 25, 81]","[107, 35, 119, 16, 41]",2398,2347
False,"[25, 45, 8, 99, 40]","[2, 71, 89, 43, 48]",1765,3046
True,"[15, 2, 44, 7, 64]","[14, 69, 5, 28, 63]",2769,4025
False,"[8, 5, 80, 104, 14]","[76, 42, 75, 63, 93]",2070,2259
True,"[88, 22, 93, 20, 14]","[47, 44, 9, 2, 86]",3062,2713
True,"[58, 34, 135, 37, 42]","[71, 54, 36, 86, 20]",2259,3440
True,"[43, 71, 83, 75, 54]","[40, 35, 114, 2, 30]",1163,1346
False,"[69, 75, 96, 6, 36]","[97, 74, 41, 99, 20]",2698,1473
False,"[72, 34, 11, 96, 47]","[30, 21, 86, 8, 119]",2824,4012
True,"[9, 37, 25, 67, 80]","[5, 56, 108, 41, 74]",2269,4010
False,"[102, 92, 50, 25, 70]","[96, 75, 21, 29, 46]",3052,4737
True,"[64, 37, 12, 11, 99]","[26, 27, 8, 36, 63]",2184,1394
False,"[48, 71, 51, 121, 44]","[91, 114, 60, 53, 107]",2027,2689
True,"[137, 35, 53, 42, 83]","[96, 49, 123, 75, 93]",2529,4680
False,"[2, 37, 81, 26, 76]","[93, 99, 68, 35, 100]",2176,3881
True,"[6, 23, 88, 85, 71]","[42, 50, 96, 8, 58]",3136,2974
